Macrotrends Data Download

Pakistan GDP Growth Rate 1961-2023


DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED "AS IS" AND SOLELY
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.


ATTRIBUTION: Proper attribution requires clear indication of the data source as "www.macrotrends.net".
A "dofollow" backlink to the originating page is also required if the data is displayed on a web page.


, , , 
date, GDP Growth (%), Annual Change, 
1961-12-31,5.9873
1962-12-31,4.4829,-1.5
1963-12-31,8.6888,4.21
1964-12-31,7.5698,-1.12
1965-12-31,10.4194,2.85
1966-12-31,5.79,-4.63
1967-12-31,5.4006,-0.39
1968-12-31,7.2332,1.83
1969-12-31,5.5079,-1.73
1970-12-31,11.3535,5.85
1971-12-31,0.4684,-10.89
1972-12-31,0.8134,0.35
1973-12-31,7.0643,6.25
1974-12-31,3.5402,-3.52
1975-12-31,4.2114,0.67
1976-12-31,5.1562,0.94
1977-12-31,3.9477,-1.21
1978-12-31,8.0485,4.1
1979-12-31,3.7584,-4.29
1980-12-31,10.2157,6.46
1981-12-31,7.9208,-2.29
1982-12-31,6.5375,-1.38
1983-12-31,6.7784,0.24
1984-12-31,5.0652,-1.71
1985-12-31,7.5921,2.53
1986-12-31,5.5017,-2.09
1987-12-31,6.4523,0.95
1988-12-31,7.6253,1.17
1989-12-31,4.9598,-2.67
1990-12-31,4.4586,-0.5
1991-12-31,5.0616,0.6
1992-12-31,7.7059,2.64
1993-12-31,1.7577,-5.95
1994-12-31,3.7374,1.98
1995-12-31,4.9626,1.23
1996-12-31,4.8466,-0.12
1997-12-31,1.0144,-3.83
1998-12-31,2.5502,1.54
1999-12-31,3.6601,1.11
2000-12-31,4.2601,0.6
2001-12-31,3.5544,-0.71
2002-12-31,2.5083,-1.05
2003-12-31,5.777,3.27
2004-12-31,7.5469,1.77
2005-12-31,6.5188,-1.03
2006-12-31,5.899,-0.62
2007-12-31,4.8328,-1.07
2008-12-31,1.7014,-3.13
2009-12-31,2.8317,1.13
2010-12-31,1.6067,-1.23
2011-12-31,2.7484,1.14
2012-12-31,3.507,0.76
2013-12-31,4.3965,0.89
2014-12-31,4.6747,0.28
2015-12-31,4.7311,0.06
2016-12-31,5.5267,0.8
2017-12-31,4.4326,-1.09
2018-12-31,6.1517,1.72
2019-12-31,2.4976,-3.65
2020-12-31,-1.3295,-3.83
2021-12-31,6.0298,7.36
