Macrotrends Data Download,,,
,,,
Pakistan GDP Per Capita 1960-2023,,,
,,,
,,,
"DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED ""AS IS"" AND SOLELY",,,
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.,,,
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE,,,
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.,,,
,,,
,,,
"ATTRIBUTION: Proper attribution requires clear indication of the data source as ""www.macrotrends.net"".",,,
"A ""dofollow"" backlink to the originating page is also required if the data is displayed on a web page.",,,
,,,
,,,
, , , 
date, GDP Per Capita (US $), Annual Growth Rate (%), 
1960-12-31,83.3379,,
1961-12-31,89.409,7.28,
1962-12-31,91.3192,2.14,
1963-12-31,95.7034,4.8,
1964-12-31,104.8802,9.59,
1965-12-31,116.4467,11.03,
1966-12-31,125.547,7.81,
1967-12-31,139.1185,10.81,
1968-12-31,145.9457,4.91,
1969-12-31,153.417,5.12,
1970-12-31,172.4657,12.42,
1971-12-31,178.5551,3.53,
1972-12-31,153.384,-14.1,
1973-12-31,101.1647,-34.04,
1974-12-31,137.1089,35.53,
1975-12-31,168.0804,22.59,
1976-12-31,191.3011,13.82,
1977-12-31,213.1687,11.43,
1978-12-31,243.3358,14.15,
1979-12-31,260.5623,7.08,
1980-12-31,303.051,16.31,
1981-12-31,348.2951,14.93,
1982-12-31,368.2774,5.74,
1983-12-31,332.521,-9.71,
1984-12-31,349.1821,5.01,
1985-12-31,337.8285,-3.25,
1986-12-31,335.0202,-0.83,
1987-12-31,339.3323,1.29,
1988-12-31,379.4545,11.82,
1989-12-31,384.3643,1.29,
1990-12-31,371.6786,-3.3,
1991-12-31,411.8594,10.81,
1992-12-31,429.1469,4.2,
1993-12-31,442.4923,3.11,
1994-12-31,434.4654,-1.81,
1995-12-31,489.8818,12.76,
1996-12-31,497.2161,1.5,
1997-12-31,476.3812,-4.19,
1998-12-31,461.2167,-3.18,
1999-12-31,454.2761,-1.5,
2000-12-31,576.1956,26.84,
2001-12-31,544.4943,-5.5,
2002-12-31,534.3039,-1.87,
2003-12-31,599.3763,12.18,
2004-12-31,687.8364,14.76,
2005-12-31,748.9226,8.88,
2006-12-31,836.8605,11.74,
2007-12-31,908.0951,8.51,
2008-12-31,990.8466,9.11,
2009-12-31,957.9957,-3.32,
2010-12-31,987.4097,3.07,
2011-12-31,1164.9788,17.98,
2012-12-31,1198.1176,2.84,
2013-12-31,1208.9177,0.9,
2014-12-31,1251.1757,3.5,
2015-12-31,1356.6678,8.43,
2016-12-31,1540.1845,13.53,
2017-12-31,1631.5319,5.93,
2018-12-31,1678.0432,2.85,
2019-12-31,1481.8139,-11.69,
2020-12-31,1359.5145,-8.25,
2021-12-31,1537.9364,13.12,
2022-12-31,"1,658.36",5,
