Macrotrends Data Download

Pakistan GNI Per Capita 1962-2023


DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED "AS IS" AND SOLELY
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.


ATTRIBUTION: Proper attribution requires clear indication of the data source as "www.macrotrends.net".
A "dofollow" backlink to the originating page is also required if the data is displayed on a web page.


, , , 
date, GNI Per Capita (US $), Annual % Growth, 
1962-12-31,90
1963-12-31,100,11.11
1964-12-31,100,0
1965-12-31,110,10
1966-12-31,120,9.09
1967-12-31,130,8.33
1968-12-31,150,15.38
1969-12-31,160,6.67
1970-12-31,170,6.25
1971-12-31,180,5.88
1972-12-31,170,-5.56
1973-12-31,150,-11.76
1974-12-31,150,0
1975-12-31,160,6.67
1976-12-31,180,12.5
1977-12-31,200,11.11
1978-12-31,240,20
1979-12-31,270,12.5
1980-12-31,320,18.52
1981-12-31,350,9.38
1982-12-31,360,2.86
1983-12-31,350,-2.78
1984-12-31,350,0
1985-12-31,340,-2.86
1986-12-31,360,5.88
1987-12-31,370,2.78
1988-12-31,400,8.11
1989-12-31,400,0
1990-12-31,400,0
1991-12-31,400,0
1992-12-31,430,7.5
1993-12-31,440,2.33
1994-12-31,440,0
1995-12-31,470,6.82
1996-12-31,480,2.13
1997-12-31,470,-2.08
1998-12-31,450,-4.26
1999-12-31,440,-2.22
2000-12-31,480,9.09
2001-12-31,510,6.25
2002-12-31,530,3.92
2003-12-31,570,7.55
2004-12-31,660,15.79
2005-12-31,740,12.12
2006-12-31,800,8.11
2007-12-31,860,7.5
2008-12-31,920,6.98
2009-12-31,950,3.26
2010-12-31,970,2.11
2011-12-31,1030,6.19
2012-12-31,1120,8.74
2013-12-31,1210,8.04
2014-12-31,1230,1.65
2015-12-31,1260,2.44
2016-12-31,1360,7.94
2017-12-31,1490,9.56
2018-12-31,1670,12.08
2019-12-31,1620,-2.99
2020-12-31,1460,-9.88
2021-12-31,1500,2.74
