Macrotrends Data Download

Pakistan Inflation Rate 1960-2023


DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED "AS IS" AND SOLELY
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.


ATTRIBUTION: Proper attribution requires clear indication of the data source as "www.macrotrends.net".
A "dofollow" backlink to the originating page is also required if the data is displayed on a web page.


, , , 
date, Inflation Rate (%), Annual Change, 
1960-12-31,6.9474
1961-12-31,1.6404,-5.31
1962-12-31,-0.5165,-2.16
1963-12-31,1.4565,1.97
1964-12-31,4.1796,2.72
1965-12-31,5.5686,1.39
1966-12-31,7.2276,1.66
1967-12-31,6.8114,-0.42
1968-12-31,0.1706,-6.64
1969-12-31,3.187,3.02
1970-12-31,5.3498,2.16
1971-12-31,4.7307,-0.62
1972-12-31,5.1832,0.45
1973-12-31,23.0701,17.89
1974-12-31,26.663,3.59
1975-12-31,20.9045,-5.76
1976-12-31,7.1583,-13.75
1977-12-31,10.133,2.97
1978-12-31,6.1387,-3.99
1979-12-31,8.267,2.13
1980-12-31,11.9382,3.67
1981-12-31,11.8799,-0.06
1982-12-31,5.9035,-5.98
1983-12-31,6.362,0.46
1984-12-31,6.0872,-0.27
1985-12-31,5.6148,-0.47
1986-12-31,3.5064,-2.11
1987-12-31,4.6812,1.17
1988-12-31,8.8379,4.16
1989-12-31,7.8443,-0.99
1990-12-31,9.0521,1.21
1991-12-31,11.7913,2.74
1992-12-31,9.509,-2.28
1993-12-31,9.9737,0.46
1994-12-31,12.3682,2.39
1995-12-31,12.3436,-0.02
1996-12-31,10.3738,-1.97
1997-12-31,11.3755,1
1998-12-31,6.228,-5.15
1999-12-31,4.1426,-2.09
2000-12-31,4.3667,0.22
2001-12-31,3.1483,-1.22
2002-12-31,3.2903,0.14
2003-12-31,2.9141,-0.38
2004-12-31,7.4446,4.53
2005-12-31,9.0633,1.62
2006-12-31,7.9211,-1.14
2007-12-31,7.5987,-0.32
2008-12-31,20.2861,12.69
2009-12-31,13.6478,-6.64
2010-12-31,12.9389,-0.71
2011-12-31,11.9161,-1.02
2012-12-31,9.6824,-2.23
2013-12-31,7.6922,-1.99
2014-12-31,7.1894,-0.5
2015-12-31,2.5293,-4.66
2016-12-31,3.7651,1.24
2017-12-31,4.0854,0.32
2018-12-31,5.0781,0.99
2019-12-31,10.5784,5.5
2020-12-31,9.74,-0.84
2021-12-31,9.4962,-0.24
