,year,GDP_B$,GDPCap,imports_B$,import_GDP_percentage,exports_B$,export_GDP_percentage,Deficit_B$,ex_rate,inflation
0,1970,10.027509449811,172.4657,1.0377992440151,10.3495,0.7637547249055,7.6166,-0.2740445191096,4.7619000037619,5.3498
1,1971,10.665896682066,178.5551,1.1178076438471,10.4802,0.8236035279294,7.7218,-0.2942041159177,4.76190000336508,4.7307
2,1972,9.415016359566,153.384,0.8140175650077,8.6459,0.6755639745135,7.1754,-0.1384535904942,8.68138258259937,5.1832
3,1973,6.3834294902109,101.1647,0.9077839780573,14.2209,0.9421167123806,14.7588,0.0343327343233,9.99424999991667,23.0701
4,1974,8.8991919191919,137.1089,1.5355555555556,17.255,1.2080808080808,13.5752,-0.3274747474747,9.9,26.663
5,1975,11.230606060606,168.0804,2.3248484848485,20.701,1.3125252525253,11.687,-1.0123232323232,9.9,20.9045
6,1976,13.168080808081,191.3011,2.409494949495,18.298,1.4021212121212,10.6479,-1.0073737373737,9.9,7.1583
7,1977,15.126060606061,213.1687,2.7011111111111,17.8573,1.4132323232323,9.343,-1.2878787878788,9.9,10.133
8,1978,17.811515151515,243.3358,3.2929292929293,18.4876,1.679696969697,9.4304,-1.6132323232323,9.9,6.1387
9,1979,19.688383838384,260.5623,4.2958585858586,21.8193,2.1746464646465,11.0453,-2.1212121212121,9.9,8.267
10,1980,23.654444444444,303.051,5.5129292929293,23.3061,2.9782828282828,12.5908,-2.5346464646465,9.9,11.9382
11,1981,28.100606060606,348.2951,6.2756565656566,22.3328,3.6067676767677,12.8352,-2.6688888888889,9.9,11.8799
12,1982,30.725971563981,368.2774,6.4929857819905,21.1319,3.1310900473934,10.1904,-3.3618957345972,11.8474666658333,5.9035
13,1983,28.691889763779,332.521,6.4581102362205,22.5085,3.4956692913386,12.1835,-2.9624409448819,13.1169749993333,6.362
14,1984,31.151825467498,349.1821,6.8434253487682,21.968,3.54964381122,11.3947,-3.2937815375482,14.0463333330833,6.0872
15,1985,31.144920844327,337.8285,7.0401715039578,22.6046,3.2908311345646,10.5662,-3.7493403693931,15.92839166625,5.6148
16,1986,31.899070055797,335.0202,6.4150650960942,20.1105,3.9223806571606,12.2962,-2.4926844389337,16.6475083330833,3.5064
17,1987,33.351529274687,339.3323,6.3660355374308,19.0877,4.605651034081,13.8094,-1.7603845033498,17.3988,4.6812
18,1988,38.472742808317,379.4545,7.4734833380803,19.4254,5.3318712617488,13.8588,-2.1416120763315,18.0032916666667,8.8379
19,1989,40.171018229071,384.3643,8.1746922245939,20.3497,5.6528387356028,14.0719,-2.5218534889911,20.5414916666667,7.8443
20,1990,40.010423970458,371.6786,8.1004534193428,20.2459,5.9170289346983,14.7887,-2.1834244846445,21.707375,9.0521
21,1991,45.625234697709,411.8594,8.4348568567495,18.4873,7.7254439139531,16.9324,-0.7094129427963,23.8007666666667,11.7913
