selection1_name,selection2_name,selection2_selection4_name,selection2_selection3_name
,,,
,1947,"	June 3: British Government decides to separate British India, into two sovereign Dominions of India and Pakistan.
	July 8: Constituent Assembly of Pakistan approves the design of Pakistan.
	July 26: The Gazette of India publishes that the first Constituent Assembly of Pakistan was given shape with 69 members (later on the membership was increased to 79), including one female member.
	14 August: Pakistan became independent.
	Quaid-a-Azam took oath as the first Governor General of Pakistan.
	Liaqat Ali Khan took oath as the first Prime minister of Pakistan.
	September 30: Pakistan becomes a member of the UN by a unanimous vote of the Security Council.
	October 27: Indian Air troops land in Kashmir as the Maharajah declares accession of Kashmir to India.",
,1948,"	January 1: UNO cease-fire orders to operate in Kashmir. War stops accordingly.
	May 1: Indo-Pakistani War of 1947, Pakistan enters war on behalf of Kashmir against India.
	1 July: Quaid-e-Azam inaugurated the State Bank of Pakistan.
	July 9: Pakistan's first postage stamp is issued.
	September 11: Founding father of nation Quaid-e-Azam dies in Karachi due to stroke.
	September 11: India occupied Hyderabad Deccan and Junaghar.
	September 14: Khwaja Nazimuddin becomes 2nd Governor-General of Pakistan.",
,1949,"	January 1: UNO cease-fire orders to operate in Kashmir. War stops accordingly.
	May 1: Indo-Pakistani War of 1947, Pakistan enters war on behalf of Kashmir against India.
	1 July: Quaid-e-Azam inaugurated the State Bank of Pakistan.
	July 9: Pakistan's first postage stamp is issued.
	September 11: Founding father of nation Quaid-e-Azam dies in Karachi due to stroke.
	September 11: India occupied Hyderabad Deccan and Junaghar.
	September 14: Khwaja Nazimuddin becomes 2nd Governor-General of Pakistan.",
,1950,January 4: Pakistan recognises the People's Republic of China,
,1950,March:Shah Of Iran Raza Shah Phelvi visited Pakistan.,
,1950,April 8: Liaquat-Nehru Pact is signed in New Delhi on measures to deal with major Inter-Dominion problems.,
,1950,May 18: The Peshawar University comes into being.,
,1950,July 11: Pakistan joins the International Monetary Fund and World Bank.,
,1950,"September 6: General Mohammad Ayub Khan, the first Pakistani, is appointed Commander in chief of Pakistan Army.",
,1951,May 11: University of Karachi is established.,
,1951,June 14: Hearing of Rawalpindi Conspiracy Case begins in Hyderabad Jail.,
,1951,October 16: Prime Minister Liaquat Ali Khan is assassinated at Rawalpindi.,
,1951,"October 17: Malik Ghulam Muhammad became 3rd Governor-General, Khwaja Nazimuddin assumed charge of 2nd Prime Minister.",
,1952,"February 21: The students of the University of Dhaka, with the support of the general public, arranged massive rallies and meetings. On 21 February 1952, police opened fire on rallies. Salam, Barkat, Rafiq, Jabbar and Shafiur died, with hundreds of others injured. This is one of the very rare incidents in history, where people had to sacrifice their lives for their mother tongue.",
,1952,"March 12: Princely states of Kalat, Makran, Las Bela and Kharan agree, with the concurrence of the Central Government, to integrate their territories into Balochistan.",
,1952,August 21: Pakistan and India agree on the boundary pact between East Bengal and West Bengal.,
,1952,August 22: A 24-hour telegraph telephone service is established between East Pakistan and West Pakistan.,
,1952,"December 24: UN Security Council adopts the Anglo-American Resolution on Kashmir urging immediate demilitarization talks between India, Pakistan.",
,1952,December 31: Pakistan National Scouts instituted.,
,1952,"January 12 : Pakistan Industrial Development Corporation (PIDC), Headed by Founder Chairman Ghulam Faruque",
,1952,"In 1952, Pakistan Petroleum Limited discovered a huge natural gas field at Sui in Bugti tribal area. It was the seventh largest gas field in the world and the biggest in Pakistan at that time. From that day the natural gas got name and fame as ""Sui gas"" all over the country.",
,1953,April 17: Muhammad Ali Bogra is sworn as prime minister.,
,1953,"July 14: Wazir Mansion Karachi, the birthplace of Quaid-e-Azam, is declared protected national monument.",
,1953,August 16: Kashmir Martyrs' Day observed throughout Pakistan.,
,1953,"November 22: Sayed Sulaiman Nadvi, well-known scholar and historian, died in Karachi.",
,1954,April : Urdu made official language,
,1954,May : Pakistan joined SEATO,
,1954,"July 21: K2, the world's second highest mountain, is conquered by an Italian expedition led by Ardito Desio.",
,1954,"August 7: Government of Pakistan approves the National Anthem, written by Abu Al-Asar Hafeez Jalandhari and composed by Ahmed G. Chagla.",
,1954,August 17: Pakistan defeats England by 24 runs at Oval during its maiden tour of England.,
,1954,September 21: Constituent Assembly unanimously passes the resolution in favour of Urdu and Bengali as national languages.,
,1954,October 7: Foreign Minister Ch. Zafarullah Khan becomes a member of the International Court of Justice.,
,1954,October 24: Malik Ghulam Muhammad dissolved first constitutional assembly.,
,1955,January 1: Pakistan International Airlines comes into being.,
,1955,"January 17: Noted short story writer, Saadat Hasan Manto dies in Lahore.",
,1955,"March 15: The biggest post-independence irrigation project, Kotri Barrage is inaugurated.",
,1955,April 18–24: Pakistan participates in the Bandung Conference.,
,1955,August 7: PM Mohammad Ali Bogra resigns after the election of Chaudhri Mohammad Ali.,
,1955,October 6: Governor-General Ghulam Mohammad's resignation is succeeded by Iskander Mirza.,
,1956,February 21: Constituent Assembly decides the country shall be a Federal Republic known as Islamic Republic of Pakistan.,
,1956,May 14: PM Abiha Abdul Majeed presents the first five-year plan.,
,1956,March 23: 1956 Constitution is promulgates on Pakistan Day. Major-General Iskander Mirza sworn in as first President of Pakistan.,
,1956,September 12: Huseyn Shaheed Suhrawardy assumes office of appointed Prime Minister.,
,1956,October 1: The Electorate Bill is introduced in the National Assembly providing for Joint Electorate in East Pakistan and Separate Electorate in West Pakistan.,
,1957,February 2: President Iskandar Mirza laid down the foundation-stone of Guddu Barrage.,
,1957,March 8: President Iskandar Mirza lays the foundation-stone of the State Bank of Pakistan building in Karachi.,
,1957,"July 11: Spiritual leader of Shia imami Ismaili Muslims and one of the founders of Muslim League and first president of All India Muslim League, Aga Khan 3 , dies.",
,1957,Governor-Raj is lifted in West Pakistan after four months.,
,1957,July 24: Maulana Bhashani forms National Awami Party.,
,1957,December 16: Malik Firoz Khan Noon is sworn in as seventh Prime Minister of Pakistan.,
,1958,"February 14: Sardar Abdul Rab Nishtar, veteran leader of Pakistan Movement dies in Karachi.",
,1958,April 23: Jalal Baba became Interior Minister.,
,1958,June 25: President Rule is proclaimed in East Pakistan.,
,1958,July 17: First Nigar Film Awards held.,
,1958,October 7: Martial Law is declared throughout the country. General Ayub Khan is chief Martial Law Administrator.,
,1958,October 24: General Ayub sworn in as Prime minister by Iskander Mirza to satisfy Ayub.,
,1958,"October 27: Ayub makes his resign to become the president. Ayub forces Iskander Mirza to step down, General Ayub khan himself becomes President",
,1958,November 2: Iskander Mirza is exiled.,
,1959,March 21: Martial law authorities enforce PRODA to disqualify politicians.,
