,year,new
0,1950,"["" Pakistan recognises the People's Republic of China"", 'Shah Of Iran Raza Shah Phelvi visited Pakistan.', ' Liaquat-Nehru Pact is signed in New Delhi on measures to deal with major Inter-Dominion problems.', ' The Peshawar University comes into being.', ' Pakistan joins the International Monetary Fund and World Bank.', ' General Mohammad Ayub Khan, the first Pakistani, is appointed Commander in chief of Pakistan Army.']"
1,1951,"[' University of Karachi is established.', ' Hearing of Rawalpindi Conspiracy Case begins in Hyderabad Jail.', ' Prime Minister Liaquat Ali Khan is assassinated at Rawalpindi.', ' Malik Ghulam Muhammad became 3rd Governor-General, Khwaja Nazimuddin assumed charge of 2nd Prime Minister.']"
2,1952,"[' The students of the University of Dhaka, with the support of the general public, arranged massive rallies and meetings. On 21 February 1952, police opened fire on rallies. Salam, Barkat, Rafiq, Jabbar and Shafiur died, with hundreds of others injured. This is one of the very rare incidents in history, where people had to sacrifice their lives for their mother tongue.', ' Princely states of Kalat, Makran, Las Bela and Kharan agree, with the concurrence of the Central Government, to integrate their territories into Balochistan.', ' Pakistan and India agree on the boundary pact between East Bengal and West Bengal.', ' A 24-hour telegraph telephone service is established between East Pakistan and West Pakistan.', ' UN Security Council adopts the Anglo-American Resolution on Kashmir urging immediate demilitarization talks between India, Pakistan.', ' Pakistan National Scouts instituted.', ' Pakistan Industrial Development Corporation (PIDC), Headed by Founder Chairman Ghulam Faruque']"
3,1953,"[' Muhammad Ali Bogra is sworn as prime minister.', ' Wazir Mansion Karachi, the birthplace of Quaid-e-Azam, is declared protected national monument.', "" Kashmir Martyrs' Day observed throughout Pakistan."", ' Sayed Sulaiman Nadvi, well-known scholar and historian, died in Karachi.']"
4,1954,"[' Urdu made official language', ' Pakistan joined SEATO', "" K2, the world's second highest mountain, is conquered by an Italian expedition led by Ardito Desio."", ' Government of Pakistan approves the National Anthem, written by Abu Al-Asar Hafeez Jalandhari and composed by Ahmed G. Chagla.', ' Pakistan defeats England by 24 runs at Oval during its maiden tour of England.', ' Constituent Assembly unanimously passes the resolution in favour of Urdu and Bengali as national languages.', ' Foreign Minister Ch. Zafarullah Khan becomes a member of the International Court of Justice.', ' Malik Ghulam Muhammad dissolved first constitutional assembly.']"
5,1955,"[' Pakistan International Airlines comes into being.', ' Noted short story writer, Saadat Hasan Manto dies in Lahore.', ' The biggest post-independence irrigation project, Kotri Barrage is inaugurated.', ' Pakistan participates in the Bandung Conference.', ' PM Mohammad Ali Bogra resigns after the election of Chaudhri Mohammad Ali.', "" Governor-General Ghulam Mohammad's resignation is succeeded by Iskander Mirza.""]"
6,1956,"[' Constituent Assembly decides the country shall be a Federal Republic known as Islamic Republic of Pakistan.', ' PM Abiha Abdul Majeed presents the first five-year plan.', ' 1956 Constitution is promulgates on Pakistan Day. Major-General Iskander Mirza sworn in as first President of Pakistan.', ' Huseyn Shaheed Suhrawardy assumes office of appointed Prime Minister.', ' The Electorate Bill is introduced in the National Assembly providing for Joint Electorate in East Pakistan and Separate Electorate in West Pakistan.']"
7,1957,"[' President Iskandar Mirza laid down the foundation-stone of Guddu Barrage.', ' President Iskandar Mirza lays the foundation-stone of the State Bank of Pakistan building in Karachi.', ' Spiritual leader of Shia imami Ismaili Muslims and one of the founders of Muslim League and first president of All India Muslim League, Aga Khan 3 , dies.', ' Maulana Bhashani forms National Awami Party.', ' Malik Firoz Khan Noon is sworn in as seventh Prime Minister of Pakistan.']"
8,1958,"[' Sardar Abdul Rab Nishtar, veteran leader of Pakistan Movement dies in Karachi.', ' Jalal Baba became Interior Minister.', ' President Rule is proclaimed in East Pakistan.', ' First Nigar Film Awards held.', ' Martial Law is declared throughout the country. General Ayub Khan is chief Martial Law Administrator.', ' General Ayub sworn in as Prime minister by Iskander Mirza to satisfy Ayub.', ' Ayub makes his resign to become the president. Ayub forces Iskander Mirza to step down, General Ayub khan himself becomes President', ' Iskander Mirza is exiled.']"
9,1959,"[' Martial law authorities enforce PRODA to disqualify politicians.', ' Government takes over dailies The Pakistan Times, Imroze and weekly Lail-o-Nihar.', ' Shukriya Niaz Ali becomes first woman pilot of Pakistan.', ' Government establishes Islamic Research Institute.', ' Basic Democracies by Ayub Khan', ' President General Ayub Khan becomes Field Marshal.']"
10,1960,"[' Presidential Cabinet decides to name the new Capital as Islamabad.', ' Foundation-stone of Minar-e-Pakistan is laid by Akhter Husain.', ' Foundation stone of Mazar-i-Quaid (Mausoleum of M.A. Jinnah) is laid.', ' Islamabad is declared the principal seat of the Government of Pakistan.', ' Pakistan achieved its first Gold Medal in 1960 Olympics, defeating India in hockey by 1–0 at Rome.', ' Indus water treaty was signed between Pakistan and India.']"
11,1961,"[' Decimal coinage introduced in Pakistan.', ' Government institutes Film Awards.', ' Government takes over news agency, Associated Press of Pakistan (APP).', ' Jasmine is chosen as the national flower of Pakistan.', ' Maulvi Abdul Haq dies in Karachi.']"
