Macrotrends Data Download

Pakistan Exports 1960-2023


DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED "AS IS" AND SOLELY
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.


ATTRIBUTION: Proper attribution requires clear indication of the data source as "www.macrotrends.net".
A "dofollow" backlink to the originating page is also required if the data is displayed on a web page.


, Exports, % of GDP, Change
date, Billions of US $, % of GDP, 
1960-12-31,0.2690046199076,7.1749
1961-12-31,0.2559848803024,6.2153,2.9931
1962-12-31,0.2887442251155,6.6991,3.0765
1963-12-31,0.3786224275514,8.1761,38.9665
1964-12-31,0.4019319613608,7.7221,-2.5226
1965-12-31,0.4183116337673,7.0551,0.5555
1966-12-31,0.4531709365813,6.9069,10.7132
1967-12-31,0.5165896682066,6.9206,4.841
1968-12-31,0.6058378832423,7.5334,6.7249
1969-12-31,0.6010079798404,6.9216,9.0597
1970-12-31,0.7637547249055,7.6166,15.837
1971-12-31,0.8236035279294,7.7218,0.8882
1972-12-31,0.6755639745135,7.1754,-17.1844
1973-12-31,0.9421167123806,14.7588,5.7469
1974-12-31,1.2080808080808,13.5752,-17.2739
1975-12-31,1.3125252525253,11.687,11.5468
1976-12-31,1.4021212121212,10.6479,14.1525
1977-12-31,1.4132323232323,9.343,-17.5821
1978-12-31,1.679696969697,9.4304,12.7572
1979-12-31,2.1746464646465,11.0453,13.3094
1980-12-31,2.9782828282828,12.5908,19.5069
1981-12-31,3.6067676767677,12.8352,18.2468
1982-12-31,3.1310900473934,10.1904,-5.9848
1983-12-31,3.4956692913386,12.1835,24.5725
1984-12-31,3.54964381122,11.3947,-3.6921
1985-12-31,3.2908311345646,10.5662,-0.36
1986-12-31,3.9223806571606,12.2962,32.8084
1987-12-31,4.605651034081,13.8094,11.9896
1988-12-31,5.3318712617488,13.8588,-4.3126
1989-12-31,5.6528387356028,14.0719,13.7747
1990-12-31,5.9170289346983,14.7887,1.125
1991-12-31,7.7254439139531,16.9324,33.4652
1992-12-31,8.4427271443272,17.2707,13.821
1993-12-31,8.3942970125738,16.2021,1.3174
1994-12-31,8.4497757802813,16.1584,3.1107
1995-12-31,10.132260947274,16.71,-3.0753
1996-12-31,10.70306480226,16.9031,1.9946
1997-12-31,10.040494157272,16.082,-6.536
1998-12-31,10.252214043995,16.4848,-5.73
1999-12-31,9.6686905142059,15.3535,-2.8503
2000-12-31,9.9401787871467,12.1195,16.016
2001-12-31,10.60027481965,13.3363,12.178
2002-12-31,11.007713543358,13.776,9.9542
2003-12-31,13.917671162711,15.1674,28.3792
2004-12-31,15.350078165711,14.2447,-1.5268
2005-12-31,17.180327371727,14.3103,11.7272
2006-12-31,19.400851368103,14.134,9.8907
2007-12-31,20.137183305791,13.2146,1.5097
2008-12-31,21.059563684619,12.3823,-4.5521
2009-12-31,20.843801712903,12.3958,-3.3612
2010-12-31,23.946181767915,13.5163,15.7077
2011-12-31,29.831048429979,13.9667,2.3722
2012-12-31,27.816080760866,12.3967,-15.0008
2013-12-31,30.699243926624,13.2772,13.5808
2014-12-31,29.916086156595,12.2426,-1.4802
2015-12-31,28.690885214612,10.6044,-6.3435
2016-12-31,27.400953970035,8.7367,-1.6033
2017-12-31,27.888171201771,8.2216,2.4713
2018-12-31,30.562210968148,8.5818,10.0406
2019-12-31,30.136171703103,9.3909,13.1723
2020-12-31,27.935258004278,9.3023,1.5154
2021-12-31,34.569034835937,9.9812,4.8151
