Macrotrends Data Download

Pakistan Imports 1960-2023


DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED "AS IS" AND SOLELY
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.


ATTRIBUTION: Proper attribution requires clear indication of the data source as "www.macrotrends.net".
A "dofollow" backlink to the originating page is also required if the data is displayed on a web page.


, Imports, % of GDP, Change
date, Billions of US $, % of GDP, 
1960-12-31,0.4955900881982,13.2183
1961-12-31,0.5772784544309,14.0162,4.9306
1962-12-31,0.6203275934481,14.3922,0.7963
1963-12-31,0.7322553548929,15.8126,17.7129
1964-12-31,0.8017639647207,15.4039,6.5998
1965-12-31,1.0071398572029,16.986,12.4934
1966-12-31,0.8061738765225,12.2872,-7.1038
1967-12-31,1.0132297354053,13.574,13.809
1968-12-31,0.9328013439731,11.5991,6.6055
1969-12-31,0.9168416631667,10.5589,-16.3873
1970-12-31,1.0377992440151,10.3495,47.9927
1971-12-31,1.1178076438471,10.4802,-10.0161
1972-12-31,0.8140175650077,8.6459,-31.8134
1973-12-31,0.9077839780573,14.2209,-11.2259
1974-12-31,1.5355555555556,17.255,15.6233
1975-12-31,2.3248484848485,20.701,-6.3579
1976-12-31,2.409494949495,18.298,6.9596
1977-12-31,2.7011111111111,17.8573,10.6686
1978-12-31,3.2929292929293,18.4876,6.8248
1979-12-31,4.2958585858586,21.8193,30.2465
1980-12-31,5.5129292929293,23.3061,4.0046
1981-12-31,6.2756565656566,22.3328,-20.8921
1982-12-31,6.4929857819905,21.1319,-0.4732
1983-12-31,6.4581102362205,22.5085,11.107
1984-12-31,6.8434253487682,21.968,7.2326
1985-12-31,7.0401715039578,22.6046,8.9166
1986-12-31,6.4150650960942,20.1105,-2.4613
1987-12-31,6.3660355374308,19.0877,1.9919
1988-12-31,7.4734833380803,19.4254,-3.4049
1989-12-31,8.1746922245939,20.3497,8.3222
1990-12-31,8.1004534193428,20.2459,-3.4996
1991-12-31,8.4348568567495,18.4873,-7.3969
1992-12-31,9.9841004015254,20.4238,30.8431
1993-12-31,11.552179554512,22.2972,14.8444
1994-12-31,9.8831198619777,18.8993,-10.7893
1995-12-31,11.77720367211,19.4228,3.9698
1996-12-31,13.567618581148,21.427,13.5935
1997-12-31,12.967591818895,20.7703,-3.7853
1998-12-31,10.900343051978,17.5269,-5.6211
1999-12-31,10.684436233801,16.9665,-5.4014
2000-12-31,10.862333897077,13.2439,-2.25
2001-12-31,11.36130195809,14.2937,2.1562
2002-12-31,11.07307567392,13.8578,3.0464
2003-12-31,13.423663991805,14.629,11.2195
2004-12-31,14.337311099531,13.3049,-8.5776
2005-12-31,21.422766419127,17.8441,39.5268
2006-12-31,29.577339842223,21.5478,18.6826
2007-12-31,30.135517579188,19.7758,-4.0703
2008-12-31,39.478276162535,23.2119,5.8619
2009-12-31,33.085901223339,19.6761,-15.9057
2010-12-31,34.286260751849,19.3527,4.347
2011-12-31,40.524442875858,18.9732,-0.1193
2012-12-31,45.79409292335,20.4088,-3.0956
2013-12-31,46.374225334655,20.0564,1.8101
2014-12-31,45.594469822376,18.6587,0.2543
2015-12-31,46.130526984115,17.0503,-1.6074
2016-12-31,50.070574998395,15.9649,16.0219
2017-12-31,58.514406747319,17.2504,18.9836
2018-12-31,67.821973190748,19.0443,15.7333
2019-12-31,62.624563953808,19.5147,7.6119
2020-12-31,52.32730570292,17.4246,-5.0635
2021-12-31,69.042352354421,19.9347,5.493
