Macrotrends Data Download

Pakistan Tariff Rates 1995-2023


DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED "AS IS" AND SOLELY
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.


ATTRIBUTION: Proper attribution requires clear indication of the data source as "www.macrotrends.net".
A "dofollow" backlink to the originating page is also required if the data is displayed on a web page.


, , , 
date, Applied, Weighted Mean, All Products (%), Annual Change, 
1995-12-31,44.94
1998-12-31,40.69,-4.25
1999-12-31,23.13,-17.56
2000-12-31,23.12,-0.01
2001-12-31,20.62,-2.5
2002-12-31,17.39,-3.23
2003-12-31,16.71,-0.68
2004-12-31,13.02,-3.69
2005-12-31,13,-0.02
2006-12-31,12.71,-0.29
2007-12-31,12.11,-0.6
2008-12-31,9.5,-2.61
2009-12-31,9.88,0.38
2010-12-31,10.2,0.32
2011-12-31,9.02,-1.18
2012-12-31,9.02,0
2013-12-31,9.41,0.39
2014-12-31,8.92,-0.49
2015-12-31,9.58,0.66
2016-12-31,10.09,0.51
2018-12-31,9.45,-0.64
2019-12-31,8.69,-0.76
2020-12-31,8.67,-0.02
