Macrotrends Data Download

Pakistan Trade to GDP Ratio 1960-2023


DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED "AS IS" AND SOLELY
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.


ATTRIBUTION: Proper attribution requires clear indication of the data source as "www.macrotrends.net".
A "dofollow" backlink to the originating page is also required if the data is displayed on a web page.


, , , 
date, Trade (% of GDP), Annual Change, 
1960-12-31,20.3932
1961-12-31,20.2315,-0.16
1962-12-31,21.0914,0.86
1963-12-31,23.9888,2.9
1964-12-31,23.126,-0.86
1965-12-31,24.0411,0.92
1966-12-31,19.1941,-4.85
1967-12-31,20.4946,1.3
1968-12-31,19.1325,-1.36
1969-12-31,17.4805,-1.65
1970-12-31,17.9661,0.49
1971-12-31,18.202,0.24
1972-12-31,15.8213,-2.38
1973-12-31,28.9797,13.16
1974-12-31,30.8302,1.85
1975-12-31,32.388,1.56
1976-12-31,28.9459,-3.44
1977-12-31,27.2004,-1.75
1978-12-31,27.918,0.72
1979-12-31,32.8646,4.95
1980-12-31,35.8969,3.03
1981-12-31,35.168,-0.73
1982-12-31,31.3223,-3.85
1983-12-31,34.692,3.37
1984-12-31,33.3626,-1.33
1985-12-31,33.1707,-0.19
1986-12-31,32.4067,-0.76
1987-12-31,32.8971,0.49
1988-12-31,33.2842,0.39
1989-12-31,34.4217,1.14
1990-12-31,35.0346,0.61
1991-12-31,35.4197,0.39
1992-12-31,37.6945,2.27
1993-12-31,38.4993,0.8
1994-12-31,35.0577,-3.44
1995-12-31,36.1328,1.08
1996-12-31,38.3301,2.2
1997-12-31,36.8523,-1.48
1998-12-31,34.0117,-2.84
1999-12-31,32.32,-1.69
2000-12-31,25.3634,-6.96
2001-12-31,27.63,2.27
2002-12-31,27.6338,0
2003-12-31,29.7964,2.16
2004-12-31,27.5496,-2.25
2005-12-31,32.1544,4.6
2006-12-31,35.6817,3.53
2007-12-31,32.9904,-2.69
2008-12-31,35.5942,2.6
2009-12-31,32.0718,-3.52
2010-12-31,32.8689,0.8
2011-12-31,32.9399,0.07
2012-12-31,32.8055,-0.13
2013-12-31,33.3336,0.53
2014-12-31,30.9012,-2.43
2015-12-31,27.6547,-3.25
2016-12-31,24.7016,-2.95
2017-12-31,25.472,0.77
2018-12-31,27.6261,2.15
2019-12-31,28.9056,1.28
2020-12-31,26.7269,-2.18
2021-12-31,29.9158,3.19
